"journal_name","issn","e_issn","category","total_citations","impact_factor_2022","jif_quartile","jci_2022","percent_oa_gold"
"ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE","0952-1976","1873-6769","('AUTOMATION & CONTROL SYSTEMS - SCIE', 'COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE', 'ENGINEERING, MULTIDISCIPLINARY - SCIE')","16,736","8.0","('Q1', 'Q1', 'Q1', 'Q1')","1.78","8.74"
"Journal of Crohns & Colitis","1873-9946","1876-4479","GASTROENTEROLOGY & HEPATOLOGY - SCIE","13,360","8.0","Q1","1.74","25.77"
"Current Issues in Tourism","1368-3500","1747-7603","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","11,548","8.0","Q1","1.72","6.93"
"Food Packaging and Shelf Life","2214-2894","2214-2894","FOOD SCIENCE & TECHNOLOGY - SCIE","6,559","8.0","Q1","1.72","9.36"
"PATTERN RECOGNITION","0031-3203","1873-5142","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE')","40,524","8.0","('Q1', 'Q1')","1.71","8.87"
"Weather and Climate Extremes","2212-0947","2212-0947","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","3,343","8.0","Q1","1.59","91.86"
"ONCOGENE","0950-9232","1476-5594","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'CELL BIOLOGY - SCIE', 'GENETICS & HEREDITY - SCIE', 'ONCOLOGY - SCIE')","74,751","8.0","('Q1', 'Q1', 'Q1', 'Q1')","1.56","34.41"
"JACS Au","","2691-3704","CHEMISTRY, MULTIDISCIPLINARY - ESCI","2,413","8.0","","1.51","55.58"
"DIABETES-METABOLISM RESEARCH AND REVIEWS","1520-7552","1520-7560","ENDOCRINOLOGY & METABOLISM - SCIE","7,822","8.0","Q1","1.43","14.46"
"International Journal of Nanomedicine","1178-2013","1178-2013","('NANOSCIENCE & NANOTECHNOLOGY - SCIE', 'PHARMACOLOGY & PHARMACY - SCIE')","41,317","8.0","('Q2', 'Q1')","1.31","97.90"
"Composites Communications","2452-2139","2452-2139","MATERIALS SCIENCE, COMPOSITES - SCIE","7,512","8.0","Q1","1.23","3.18"
"Mucosal Immunology","1933-0219","1935-3456","IMMUNOLOGY - SCIE","10,754","8.0","Q1","1.22","88.25"
"International Journal of Neural Systems","0129-0657","1793-6462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,233","8.0","Q1","1.18","8.02"
"European Journal of Internal Medicine","0953-6205","1879-0828","MEDICINE, GENERAL & INTERNAL - SCIE","8,143","8.0","Q1","1.14","16.52"
"Sustainable Energy Technologies and Assessments","2213-1388","2213-1396","('ENERGY & FUELS - SCIE', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE')","14,387","8.0","('Q1', 'Q2')","1.14","4.69"
"Hepatobiliary Surgery and Nutrition","2304-3881","2304-389X","('GASTROENTEROLOGY & HEPATOLOGY - SCIE', 'NUTRITION & DIETETICS - SCIE', 'SURGERY - SCIE')","1,859","8.0","('Q1', 'Q1', 'Q1')","1.12","100.00"
"PROTEIN SCIENCE","0961-8368","1469-896X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","18,981","8.0","Q1","0.99","31.48"
"ARCHIVOS DE BRONCONEUMOLOGIA","0300-2896","1579-2129","RESPIRATORY SYSTEM - SCIE","3,029","8.0","Q1","0.97","4.30"
"CELLULAR AND MOLECULAR LIFE SCIENCES","1420-682X","1420-9071","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'CELL BIOLOGY - SCIE')","37,643","8.0","('Q1', 'Q1')","0.91","43.89"
"Journal of Science-Advanced Materials and Devices","2468-2284","2468-2179","('MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","3,040","8.0","('Q1', 'Q2')","0.85","92.54"
"HLA","2059-2302","2059-2310","('CELL BIOLOGY - SCIE', 'IMMUNOLOGY - SCIE', 'PATHOLOGY - SCIE')","1,550","8.0","('Q1', 'Q1', 'Q1')","0.72","22.16"
"Annual Review of Statistics and Its Application","2326-8298","2326-831X","('MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE', 'STATISTICS & PROBABILITY - SCIE')","1,523","7.9","('Q1', 'Q1')","3.25","3.28"
"JOURNAL OF COMMUNICATION","0021-9916","1460-2466","COMMUNICATION - SSCI","10,672","7.9","Q1","2.46","26.02"
"Photoacoustics","2213-5979","2213-5979","('ENGINEERING, BIOMEDICAL - SCIE', 'INSTRUMENTS & INSTRUMENTATION - SCIE', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE')","2,551","7.9","('Q1', 'Q1', 'Q1')","2.14","88.57"
"PHYTOMEDICINE","0944-7113","1618-095X","('CHEMISTRY, MEDICINAL - SCIE', 'INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE', 'PHARMACOLOGY & PHARMACY - SCIE', 'PLANT SCIENCES - SCIE')","20,568","7.9","('Q1', 'Q1', 'Q1', 'Q1')","2.06","12.06"
"IEEE TRANSACTIONS ON MOBILE COMPUTING","1536-1233","1558-0660","('COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE', 'TELECOMMUNICATIONS - SCIE')","12,286","7.9","('Q1', 'Q1')","2.01","12.15"
"BRITISH JOURNAL OF HEALTH PSYCHOLOGY","1359-107X","2044-8287","PSYCHOLOGY, CLINICAL - SSCI","4,922","7.9","Q1","1.96","46.43"
"Facta Universitatis-Series Mechanical Engineering","0354-2025","2335-0164","ENGINEERING, MECHANICAL - SCIE","1,168","7.9","Q1","1.87","100.00"
"Astrophysical Journal Letters","2041-8205","2041-8213","ASTRONOMY & ASTROPHYSICS - SCIE","45,817","7.9","Q1","1.80","42.15"
"INTERNATIONAL JOURNAL OF FORECASTING","0169-2070","1872-8200","('ECONOMICS - SSCI', 'MANAGEMENT - SSCI')","9,203","7.9","('Q1', 'Q1')","1.79","12.37"
"Communications Earth & Environment","","2662-4435","('ENVIRONMENTAL SCIENCES - SCIE', 'GEOSCIENCES, MULTIDISCIPLINARY - SCIE', 'METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE')","2,737","7.9","('Q1', 'Q1', 'Q1')","1.67","99.66"
"Soft Robotics","2169-5172","2169-5180","ROBOTICS - SCIE","4,937","7.9","Q1","1.66","11.44"
"Environmental Impact Assessment Review","0195-9255","1873-6432","ENVIRONMENTAL STUDIES - SSCI","7,669","7.9","Q1","1.63","11.86"
"Environmental Microbiome","","2524-6372","('GENETICS & HEREDITY - SCIE', 'MICROBIOLOGY - SCIE')","457","7.9","('Q1', 'Q1')","1.56","100.00"
"Current Environmental Health Reports","","2196-5412","('PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI')","2,961","7.9","('Q1', 'Q1')","1.55","28.21"
"npj Precision Oncology","","2397-768X","ONCOLOGY - SCIE","2,147","7.9","Q1","1.54","99.56"
"IEEE Open Journal of the Communications Society","","2644-125X","('ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI', 'TELECOMMUNICATIONS - ESCI')","2,223","7.9","('N/A', 'N/A')","1.49","98.27"
"Immunity & Ageing","1742-4933","1742-4933","('GERIATRICS & GERONTOLOGY - SCIE', 'IMMUNOLOGY - SCIE')","2,018","7.9","('Q1', 'Q1')","1.41","99.28"
"Biology of Sex Differences","","2042-6410","('ENDOCRINOLOGY & METABOLISM - SCIE', 'GENETICS & HEREDITY - SCIE')","3,009","7.9","('Q1', 'Q1')","1.39","99.51"
"Materials Science & Engineering C-Materials for Biological Applications","0928-4931","1873-0191","MATERIALS SCIENCE, BIOMATERIALS - SCIE","60,478","7.9","Q1","1.37","7.34"
"Digital Communications and Networks","2468-5925","2352-8648","TELECOMMUNICATIONS - SCIE","1,952","7.9","Q1","1.36","94.98"
"Microsystems & Nanoengineering","2055-7434","2055-7434","('INSTRUMENTS & INSTRUMENTATION - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","3,564","7.9","('Q1', 'Q2')","1.36","99.71"
"Computers & Industrial Engineering","0360-8352","1879-0550","('COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE', 'ENGINEERING, INDUSTRIAL - SCIE')","32,278","7.9","('Q1', 'Q1')","1.31","5.24"
"Journal of International Business Policy","2522-0691","2522-0705","BUSINESS - ESCI","828","7.9","","1.18","23.17"
"Bio-Design and Manufacturing","2096-5524","2522-8552","ENGINEERING, BIOMEDICAL - SCIE","1,163","7.9","Q1","1.14","16.67"
"Solar RRL","2367-198X","2367-198X","('ENERGY & FUELS - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE')","11,462","7.9","('Q1', 'Q1')","1.14","15.23"
"Wiley Interdisciplinary Reviews-Systems Biology and Medicine","1939-5094","1939-005X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","1,615","7.9","Q1","1.09","29.03"
"Journal of Traffic and Transportation Engineering-English Edition","2095-7564","2095-7564","('ENGINEERING, CIVIL - ESCI', 'TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI')","2,046","7.9","('N/A', 'N/A')","0.98","90.40"
"Business & Information Systems Engineering","2363-7005","1867-0202","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","3,308","7.9","Q1","0.96","69.16"
"INTERNATIONAL ORGANIZATION","0020-8183","1531-5088","('INTERNATIONAL RELATIONS - SSCI', 'POLITICAL SCIENCE - SSCI')","8,555","7.8","('Q1', 'Q1')","3.87","8.47"
"JAMA Otolaryngology-Head & Neck Surgery","2168-6181","2168-619X","('OTORHINOLARYNGOLOGY - SCIE', 'SURGERY - SCIE')","6,396","7.8","('Q1', 'Q1')","2.66","3.94"
"CHAOS SOLITONS & FRACTALS","0960-0779","1873-2887","('MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE', 'PHYSICS, MATHEMATICAL - SCIE', 'PHYSICS, MULTIDISCIPLINARY - SCIE')","30,667","7.8","('Q1', 'Q1', 'Q1')","2.52","3.64"
"GOVERNMENT INFORMATION QUARTERLY","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","6,753","7.8","Q1","2.48","26.11"
"Translational Research","1931-5244","1878-1810","('MEDICAL LABORATORY TECHNOLOGY - SCIE', 'MEDICINE, GENERAL & INTERNAL - SCIE', 'MEDICINE, RESEARCH & EXPERIMENTAL - SCIE')","6,585","7.8","('Q1', 'Q1', 'Q1')","2.14","23.28"
"Limnology and Oceanography Letters","","2378-2242","('LIMNOLOGY - SCIE', 'OCEANOGRAPHY - SCIE')","1,481","7.8","('Q1', 'Q1')","1.91","75.34"
"IEEE Transactions on Robotics","1552-3098","1941-0468","ROBOTICS - SCIE","22,707","7.8","Q1","1.79","17.44"
"NEURAL NETWORKS","0893-6080","1879-2782","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'NEUROSCIENCES - SCIE')","25,292","7.8","('Q1', 'Q1')","1.61","16.76"
"Tourism Review","1660-5373","1759-8451","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI","3,275","7.8","Q2","1.60","4.15"
"AGING CELL","1474-9718","1474-9726","('CELL BIOLOGY - SCIE', 'GERIATRICS & GERONTOLOGY - SCIE')","16,286","7.8","('Q1', 'Q1')","1.53","67.30"
"Vaccines","","2076-393X","('IMMUNOLOGY - SCIE', 'MEDICINE, RESEARCH & EXPERIMENTAL - SCIE')","23,664","7.8","('Q1', 'Q1')","1.44","99.45"
"Journal of Behavioral Addictions","2062-5871","2063-5303","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI')","5,713","7.8","('Q1', 'Q1')","1.43","91.63"
"JOURNAL OF OPERATIONS MANAGEMENT","0272-6963","1873-1317","('MANAGEMENT - SSCI', 'OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE')","12,815","7.8","('Q1', 'Q1')","1.37","17.04"
"EUROPEAN PSYCHIATRY","0924-9338","1778-3585","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI')","8,121","7.8","('Q1', 'Q1')","1.36","99.61"
"Communications Materials","","2662-4443","MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI","1,722","7.8","","1.26","100.00"
"JOURNAL OF CELL BIOLOGY","0021-9525","1540-8140","CELL BIOLOGY - SCIE","67,244","7.8","Q1","1.13","98.56"
"JOURNAL OF PUBLIC POLICY & MARKETING","0743-9156","1547-7207","BUSINESS - SSCI","2,995","7.8","Q1","1.03","12.35"
"PROCESS SAFETY AND ENVIRONMENTAL PROTECTION","0957-5820","1744-3598","('ENGINEERING, CHEMICAL - SCIE', 'ENGINEERING, ENVIRONMENTAL - SCIE')","23,661","7.8","('Q1', 'Q1')","0.98","3.74"
"CURRENT OPINION IN CHEMICAL BIOLOGY","1367-5931","1879-0402","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'BIOPHYSICS - SCIE')","11,310","7.8","('Q1', 'Q1')","0.93","37.66"
"Materials Today Sustainability","2589-2347","2589-2347","('GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE')","843","7.8","('Q2', 'Q1')","0.92","5.86"
"SEMINARS IN IMMUNOLOGY","1044-5323","1096-3618","IMMUNOLOGY - SCIE","7,355","7.8","Q1","0.78","28.86"
"Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery","1942-4787","1942-4795","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'COMPUTER SCIENCE, THEORY & METHODS - SCIE')","3,750","7.8","('Q1', 'Q1')","0.72","12.21"
"NETWORK-COMPUTATION IN NEURAL SYSTEMS","0954-898X","1361-6536","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE', 'NEUROSCIENCES - SCIE')","791","7.8","('Q1', 'Q1', 'Q1')","0.54","4.76"
"INTERNATIONAL JOURNAL OF EPIDEMIOLOGY","0300-5771","1464-3685","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","34,384","7.7","Q1","2.18","49.34"
"IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","0278-0046","1557-9948","('AUTOMATION & CONTROL SYSTEMS - SCIE', 'ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE', 'INSTRUMENTS & INSTRUMENTATION - SCIE')","90,247","7.7","('Q1', 'Q1', 'Q1')","2.16","3.22"
"eLife","2050-084X","2050-084X","BIOLOGY - SCIE","94,866","7.7","Q1","2.07","99.45"
"Annual Review of Cancer Biology","2472-3428","2472-3428","ONCOLOGY - SCIE","1,068","7.7","Q1","2.05","77.05"
"GASTROINTESTINAL ENDOSCOPY","0016-5107","1097-6779","GASTROENTEROLOGY & HEPATOLOGY - SCIE","26,931","7.7","Q1","1.79","8.04"
"Brain Stimulation","1935-861X","1876-4754","('CLINICAL NEUROLOGY - SCIE', 'NEUROSCIENCES - SCIE')","10,411","7.7","('Q1', 'Q1')","1.78","94.43"
"IEEE Journal of Biomedical and Health Informatics","2168-2194","2168-2208","('COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE', 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE', 'MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE', 'MEDICAL INFORMATICS - SCIE')","15,055","7.7","('Q1', 'Q1', 'Q1', 'Q1')","1.78","14.98"
"DIABETES","0012-1797","1939-327X","ENDOCRINOLOGY & METABOLISM - SCIE","55,263","7.7","Q1","1.69","0.98"
"NBER Macroeconomics Annual","0889-3365","1537-2642","ECONOMICS - SSCI","799","7.7","Q1","1.66","0.00"
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","0742-1222","1557-928X","('COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE', 'INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI', 'MANAGEMENT - SSCI')","9,097","7.7","('Q1', 'Q1', 'Q1')","1.65","12.40"
"COMPUTERS IN BIOLOGY AND MEDICINE","0010-4825","1879-0534","('BIOLOGY - SCIE', 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE', 'ENGINEERING, BIOMEDICAL - SCIE', 'MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE')","21,417","7.7","('Q1', 'Q1', 'Q1', 'Q1')","1.63","16.08"
"Molecular Ecology Resources","1755-098X","1755-0998","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'ECOLOGY - SCIE', 'EVOLUTIONARY BIOLOGY - SCIE')","14,786","7.7","('Q1', 'Q1', 'Q1')","1.62","27.52"
"Deutsches Arzteblatt International","1866-0452","1866-0452","MEDICINE, GENERAL & INTERNAL - SCIE","8,214","7.7","Q1","1.47","0.00"
"PHYTOCHEMISTRY REVIEWS","1568-7767","1572-980X","PLANT SCIENCES - SCIE","5,449","7.7","Q1","1.36","22.34"
"CURRENT OPINION IN BIOTECHNOLOGY","0958-1669","1879-0429","('BIOCHEMICAL RESEARCH METHODS - SCIE', 'BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE')","18,869","7.7","('Q1', 'Q1')","1.18","39.38"
"Journal of CO2 Utilization","2212-9820","2212-9839","('CHEMISTRY, MULTIDISCIPLINARY - SCIE', 'ENGINEERING, CHEMICAL - SCIE')","13,659","7.7","('Q1', 'Q1')","1.18","16.01"
"EMBO REPORTS","1469-221X","1469-3178","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'CELL BIOLOGY - SCIE')","20,656","7.7","('Q1', 'Q1')","1.14","49.86"
"ARCHIVES OF MEDICAL RESEARCH","0188-4409","1873-5487","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5,141","7.7","Q1","1.11","5.20"
"Journal of Environmental Chemical Engineering","2213-2929","2213-3437","('ENGINEERING, CHEMICAL - SCIE', 'ENGINEERING, ENVIRONMENTAL - SCIE')","50,378","7.7","('Q1', 'Q1')","0.94","5.78"
"RUSSIAN CHEMICAL REVIEWS","0036-021X","1468-4837","CHEMISTRY, MULTIDISCIPLINARY - SCIE","4,673","7.7","Q1","0.50","0.00"
"JOURNAL OF DENTAL RESEARCH","0022-0345","1544-0591","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","25,849","7.6","Q1","2.89","16.85"
"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","0022-3514","1939-1315","PSYCHOLOGY, SOCIAL - SSCI","90,177","7.6","Q1","2.40","0.00"
"Journal of Adolescent Health","1054-139X","1879-1972","('PEDIATRICS - SCIE', 'PSYCHOLOGY, DEVELOPMENTAL - SSCI', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI')","21,226","7.6","('Q1', 'Q1', 'Q1', 'Q1')","2.14","20.93"
"Photonics Research","2327-9125","2327-9125","OPTICS - SCIE","9,609","7.6","Q1","2.14","0.99"
"npj Quantum Information","","2056-6387","('PHYSICS, APPLIED - SCIE', 'PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE', 'PHYSICS, CONDENSED MATTER - SCIE', 'QUANTUM SCIENCE & TECHNOLOGY - SCIE')","5,223","7.6","('Q1', 'Q1', 'Q1', 'Q1')","2.08","99.03"
"ALIMENTARY PHARMACOLOGY & THERAPEUTICS","0269-2813","1365-2036","('GASTROENTEROLOGY & HEPATOLOGY - SCIE', 'PHARMACOLOGY & PHARMACY - SCIE')","24,719","7.6","('Q1', 'Q1')","1.77","18.03"
"Global Strategy Journal","2042-5791","2042-5805","MANAGEMENT - SSCI","2,096","7.6","Q1","1.75","27.83"
"ANTIVIRAL RESEARCH","0166-3542","1872-9096","('PHARMACOLOGY & PHARMACY - SCIE', 'VIROLOGY - SCIE')","13,955","7.6","('Q1', 'Q1')","1.69","35.77"
"JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY","0021-9630","1469-7610","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI', 'PSYCHOLOGY - SCIE', 'PSYCHOLOGY, DEVELOPMENTAL - SSCI')","23,598","7.6","('Q1', 'Q1', 'Q1', 'Q1')","1.67","33.48"
"NEUROPSYCHOPHARMACOLOGY","0893-133X","1740-634X","('NEUROSCIENCES - SCIE', 'PHARMACOLOGY & PHARMACY - SCIE', 'PSYCHIATRY - SCIE')","30,231","7.6","('Q1', 'Q1', 'Q1')","1.65","29.78"
"TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT","1361-9209","1879-2340","('ENVIRONMENTAL STUDIES - SSCI', 'TRANSPORTATION - SSCI', 'TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE')","18,796","7.6","('Q1', 'Q1', 'Q1')","1.60","24.93"
"Blood Advances","2473-9529","2473-9537","HEMATOLOGY - SCIE","16,941","7.6","Q1","1.48","93.22"
"Journal of Manufacturing Technology Management","1741-038X","1758-7786","('ENGINEERING, INDUSTRIAL - SCIE', 'ENGINEERING, MANUFACTURING - SCIE', 'MANAGEMENT - SSCI')","4,606","7.6","('Q1', 'Q1', 'Q1')","1.45","12.97"
"Journal of the American Medical Directors Association","1525-8610","1538-9375","GERIATRICS & GERONTOLOGY - SCIE","16,998","7.6","Q1","1.44","19.60"
"Ecosystem Services","2212-0416","2212-0416","('ECOLOGY - SCIE', 'ENVIRONMENTAL SCIENCES - SCIE', 'ENVIRONMENTAL STUDIES - SSCI')","11,024","7.6","('Q1', 'Q1', 'Q1')","1.38","37.24"
"International Journal of Biomedical Imaging","1687-4188","1687-4196","ENGINEERING, BIOMEDICAL - ESCI","979","7.6","","1.30","100.00"
"MODERN PATHOLOGY","0893-3952","1530-0285","PATHOLOGY - SCIE","19,085","7.5","Q1","2.49","67.39"
"POLITICAL COMMUNICATION","1058-4609","1091-7675","('COMMUNICATION - SSCI', 'POLITICAL SCIENCE - SSCI')","3,509","7.5","('Q1', 'Q1')","2.31","23.26"
"Future Generation Computer Systems-The International Journal of eScience","0167-739X","1872-7115","COMPUTER SCIENCE, THEORY & METHODS - SCIE","27,413","7.5","Q1","2.15","10.19"
"IEEE Journal of Selected Topics in Signal Processing","1932-4553","1941-0484","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","9,132","7.5","Q1","1.96","14.33"
"LEADERSHIP QUARTERLY","1048-9843","1873-3409","('MANAGEMENT - SSCI', 'PSYCHOLOGY, APPLIED - SSCI')","14,193","7.5","('Q1', 'Q1')","1.89","7.80"
"BIOMEDICINE & PHARMACOTHERAPY","0753-3322","1950-6007","('MEDICINE, RESEARCH & EXPERIMENTAL - SCIE', 'PHARMACOLOGY & PHARMACY - SCIE')","61,717","7.5","('Q1', 'Q1')","1.62","95.21"
"Circulation-Cardiovascular Imaging","1941-9651","1942-0080","('CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE')","8,076","7.5","('Q1', 'Q1')","1.59","13.09"
"European Respiratory Review","0905-9180","1600-0617","RESPIRATORY SYSTEM - SCIE","5,920","7.5","Q1","1.58","97.85"
"International Journal of Logistics Management","0957-4093","1758-6550","MANAGEMENT - SSCI","4,404","7.5","Q1","1.50","9.91"
"European Management Journal","0263-2373","1873-5681","('BUSINESS - SSCI', 'MANAGEMENT - SSCI')","6,988","7.5","('Q1', 'Q1')","1.46","17.21"
"International Journal of Applied Earth Observation and Geoinformation","1569-8432","1872-826X","REMOTE SENSING - SCIE","16,232","7.5","Q1","1.46","96.27"
"Water Research X","","2589-9147","('ENGINEERING, ENVIRONMENTAL - SCIE', 'ENVIRONMENTAL SCIENCES - SCIE', 'WATER RESOURCES - SCIE')","900","7.5","('Q1', 'Q1', 'Q1')","1.40","93.68"
"Petroleum Exploration and Development","2096-4803","1876-3804","('ENERGY & FUELS - SCIE', 'ENGINEERING, PETROLEUM - SCIE', 'GEOSCIENCES, MULTIDISCIPLINARY - SCIE')","8,124","7.5","('Q2', 'Q1', 'Q1')","1.37","94.23"
"THROMBOSIS RESEARCH","0049-3848","1879-2472","('HEMATOLOGY - SCIE', 'PERIPHERAL VASCULAR DISEASE - SCIE')","14,905","7.5","('Q1', 'Q1')","1.37","19.00"
"DECISION SUPPORT SYSTEMS","0167-9236","1873-5797","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE', 'OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE')","14,918","7.5","('Q1', 'Q1', 'Q1')","1.36","13.60"
"Stem Cell Research & Therapy","","1757-6512","('CELL & TISSUE ENGINEERING - SCIE', 'CELL BIOLOGY - SCIE', 'MEDICINE, RESEARCH & EXPERIMENTAL - SCIE')","21,944","7.5","('Q1', 'Q1', 'Q1')","1.36","99.68"
"FOREIGN AFFAIRS","0015-7120","","INTERNATIONAL RELATIONS - SSCI","4,434","7.5","Q1","1.34","0.00"
"Artificial Intelligence in Medicine","0933-3657","1873-2860","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'ENGINEERING, BIOMEDICAL - SCIE', 'MEDICAL INFORMATICS - SCIE')","6,556","7.5","('Q1', 'Q1', 'Q1')","1.27","18.99"
"Nanophotonics","2192-8606","2192-8614","('MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE', 'OPTICS - SCIE', 'PHYSICS, APPLIED - SCIE')","11,643","7.5","('Q1', 'Q2', 'Q1', 'Q1')","1.16","96.02"
"FUEL PROCESSING TECHNOLOGY","0378-3820","1873-7188","('CHEMISTRY, APPLIED - SCIE', 'ENERGY & FUELS - SCIE', 'ENGINEERING, CHEMICAL - SCIE')","26,908","7.5","('Q1', 'Q2', 'Q1')","1.14","12.19"
"Cell and Bioscience","","2045-3701","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5,677","7.5","Q1","1.12","99.63"
"INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY","0020-7640","1741-2854","PSYCHIATRY - SSCI","5,602","7.5","Q1","1.09","13.79"
"Frontiers of Physics","2095-0462","2095-0470","PHYSICS, MULTIDISCIPLINARY - SCIE","3,121","7.5","Q1","1.08","1.62"
"INFECTION","0300-8126","1439-0973","INFECTIOUS DISEASES - SCIE","6,308","7.5","Q1","1.08","43.89"
"MACHINE LEARNING","0885-6125","1573-0565","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","31,819","7.5","Q1","0.85","42.26"
"CURRENT OPINION IN CELL BIOLOGY","0955-0674","1879-0410","CELL BIOLOGY - SCIE","14,082","7.5","Q1","0.80","37.72"
"IEEE TRANSACTIONS ON SOFTWARE ENGINEERING","0098-5589","1939-3520","('COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE', 'ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE')","10,252","7.4","('Q1', 'Q1')","2.42","13.72"
"Lancet Regional Health-Americas","2667-193X","2667-193X","('HEALTH CARE SCIENCES & SERVICES - ESCI', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI')","1,153","7.4","('N/A', 'N/A')","2.31","84.15"
